------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 1 | STRESS SOLUTION | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
4665.310590 0.897021 1.823795 0.903443 -0.083419 0.447730 -1.651600 -0.895566 -0.526803 3.326611 -0.001647 -0.000753 -0.001647
4694.220580 0.890523 1.805825 0.900688 -0.083812 0.461340 -1.681069 -0.917837 -0.540868 3.362100 -0.001657 -0.000765 -0.001657
4723.130570 0.884011 1.787849 0.897921 -0.084258 0.475346 -1.711304 -0.940846 -0.555267 3.398069 -0.001667 -0.000776 -0.001667
4752.040560 0.877487 1.769864 0.895145 -0.084761 0.489764 -1.741651 -0.964600 -0.570011 3.433557 -0.001678 -0.000788 -0.001678
4780.950550 0.870954 1.751871 0.892361 -0.085321 0.504605 -1.772780 -0.989109 -0.585109 3.469513 -0.001688 -0.000800 -0.001688
4809.860540 0.864398 1.733853 0.889561 -0.085944 0.519888 -1.804027 -1.014398 -0.600570 3.504969 -0.001700 -0.000812 -0.001700
4838.770530 0.857835 1.715825 0.886757 -0.086630 0.535623 -1.836074 -1.040467 -0.616402 3.540884 -0.001712 -0.000825 -0.001712
4867.680520 0.851246 1.697757 0.883934 -0.087386 0.551836 -1.868244 -1.067346 -0.632620 3.576272 -0.001724 -0.000837 -0.001724
4896.590510 0.844646 1.679673 0.881104 -0.088212 0.568535 -1.901235 -1.095039 -0.649230 3.612118 -0.001737 -0.000850 -0.001737
4925.500500 0.838028 1.661560 0.878263 -0.089113 0.585739 -1.934350 -1.123570 -0.666243 3.647400 -0.001750 -0.000863 -0.001750
4954.410490 0.831387 1.643408 0.875407 -0.090094 0.603473 -1.968310 -1.152956 -0.683673 3.683142 -0.001764 -0.000876 -0.001764
4983.320480 0.824734 1.625234 0.872545 -0.091156 0.621746 -2.002396 -1.183209 -0.701528 3.718285 -0.001778 -0.000889 -0.001778
