------------------------------------------------------ 
:: Shear Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 3 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhs_dmu  dhs_dK  dhs_drho  dls_dmu  dls_dK  dls_drho  dks_dmu  dks_dK  dks_drho 
3508.910990 1.146315 2.553721 1.009450 0.259766 -0.001496 -0.063578 -0.026667 -0.000052 0.301371 0.080843 -0.000750 0.005467
3537.820980 1.143414 2.542752 1.006818 0.242588 -0.001996 -0.068339 -0.024617 -0.000110 0.306939 0.075646 -0.001047 0.004274
3566.730970 1.140510 2.531902 1.004192 0.227485 -0.002380 -0.073316 -0.022793 -0.000191 0.312585 0.071096 -0.001315 0.003036
3595.640960 1.137604 2.521089 1.001567 0.214138 -0.002650 -0.078072 -0.021161 -0.000293 0.318242 0.067094 -0.001555 0.001856
3624.550950 1.134695 2.510348 0.998945 0.202270 -0.002809 -0.083055 -0.019694 -0.000418 0.323977 0.063550 -0.001767 0.000631
3653.460940 1.128388 2.490860 0.996324 0.191763 -0.002860 -0.087807 -0.018377 -0.000568 0.329723 0.060423 -0.001961 -0.000531
3682.370930 1.121323 2.469388 0.993705 0.182336 -0.002798 -0.092793 -0.017182 -0.000742 0.335549 0.057630 -0.002132 -0.001740
3711.280920 1.114331 2.448262 0.991088 0.173775 -0.002622 -0.097541 -0.016089 -0.000941 0.341386 0.055105 -0.002278 -0.002882
3740.190910 1.107359 2.427238 0.988472 0.165919 -0.002334 -0.102533 -0.015084 -0.001165 0.347306 0.052797 -0.002400 -0.004072
3769.100900 1.100452 2.406518 0.985856 0.158621 -0.001933 -0.107285 -0.014154 -0.001414 0.353236 0.050661 -0.002500 -0.005192
3798.010890 1.093575 2.385942 0.983241 0.151757 -0.001418 -0.112294 -0.013289 -0.001689 0.359252 0.048657 -0.002578 -0.006361
3826.920880 1.086736 2.365561 0.980627 0.145214 -0.000789 -0.117060 -0.012480 -0.001990 0.365279 0.046750 -0.002633 -0.007457
3855.830870 1.079942 2.345393 0.978011 0.138894 -0.000044 -0.122097 -0.011721 -0.002319 0.371394 0.044907 -0.002668 -0.008603
3884.740860 1.073167 2.325316 0.975396 0.132712 0.000817 -0.126890 -0.011008 -0.002676 0.377521 0.043104 -0.002681 -0.009674
3913.650850 1.066446 2.305519 0.972779 0.126590 0.001796 -0.131970 -0.010336 -0.003061 0.383738 0.041314 -0.002674 -0.010795
3942.560840 1.059740 2.285794 0.970162 0.120464 0.002896 -0.136805 -0.009703 -0.003476 0.389968 0.039518 -0.002646 -0.011839
3971.470830 1.053073 2.266266 0.967543 0.114273 0.004118 -0.141942 -0.009109 -0.003922 0.396292 0.037696 -0.002598 -0.012933
4000.380820 1.046429 2.246859 0.964923 0.107970 0.005466 -0.146835 -0.008555 -0.004399 0.402629 0.035833 -0.002531 -0.013947
4029.290810 1.039805 2.227568 0.962300 0.101508 0.006941 -0.152045 -0.008040 -0.004909 0.409062 0.033913 -0.002443 -0.015012
4058.200800 1.033213 2.208447 0.959674 0.094848 0.008548 -0.157013 -0.007568 -0.005454 0.415510 0.031925 -0.002335 -0.015993
4087.110790 1.026631 2.189384 0.957048 0.087958 0.010290 -0.162315 -0.007142 -0.006033 0.422057 0.029857 -0.002207 -0.017024
4116.020780 1.020082 2.170505 0.954417 0.080807 0.012170 -0.167375 -0.006767 -0.006649 0.428619 0.027700 -0.002059 -0.017968
4144.930770 1.013541 2.151680 0.951783 0.073372 0.014192 -0.172786 -0.006447 -0.007303 0.435283 0.025445 -0.001891 -0.018963
4173.840760 1.007019 2.132967 0.949144 0.065630 0.016362 -0.177957 -0.006189 -0.007996 0.441963 0.023086 -0.001703 -0.019865
4202.750750 1.000512 2.114349 0.946502 0.057565 0.018683 -0.183498 -0.006000 -0.008730 0.448750 0.020615 -0.001495 -0.020818
4231.660740 0.994014 2.095796 0.943858 0.049162 0.021160 -0.188797 -0.005888 -0.009507 0.455552 0.018027 -0.001265 -0.021673
4260.570730 0.987532 2.077354 0.941206 0.040407 0.023799 -0.194486 -0.005860 -0.010327 0.462464 0.015319 -0.001015 -0.022577
4289.480720 0.981054 2.058945 0.938552 0.031293 0.026606 -0.199934 -0.005928 -0.011193 0.469392 0.012486 -0.000744 -0.023378
4318.390710 0.974587 2.040634 0.935890 0.021811 0.029586 -0.205792 -0.006100 -0.012107 0.476433 0.009525 -0.000452 -0.024227
4347.300700 0.968124 2.022365 0.933224 0.011957 0.032746 -0.211410 -0.006389 -0.013071 0.483492 0.006434 -0.000138 -0.024966
4376.210690 0.961666 2.004156 0.930553 0.001728 0.036092 -0.217455 -0.006807 -0.014086 0.490666 0.003211 0.000199 -0.025751
4405.120680 0.955211 1.985997 0.927874 -0.008877 0.039631 -0.223264 -0.007367 -0.015154 0.497859 -0.000146 0.000558 -0.026419
4434.030670 0.948758 1.967862 0.925191 -0.019857 0.043371 -0.229517 -0.008082 -0.016279 0.505170 -0.003636 0.000940 -0.027130
4462.940660 0.942305 1.949790 0.922499 -0.031209 0.047319 -0.235538 -0.008969 -0.017461 0.512501 -0.007261 0.001346 -0.027717
4491.850650 0.935852 1.931732 0.919802 -0.042930 0.051484 -0.242022 -0.010042 -0.018704 0.519954 -0.011020 0.001775 -0.028343
4520.760640 0.929395 1.913709 0.917095 -0.055012 0.055874 -0.248275 -0.011320 -0.020010 0.527425 -0.014911 0.002230 -0.028837
4549.670630 0.922933 1.895702 0.914382 -0.067448 0.060498 -0.255013 -0.012819 -0.021382 0.535023 -0.018935 0.002709 -0.029364
4578.580620 0.916466 1.877712 0.911661 -0.080228 0.065366 -0.261519 -0.014560 -0.022822 0.542639 -0.023088 0.003214 -0.029751
4607.490610 0.909991 1.859736 0.908929 -0.093342 0.070487 -0.268532 -0.016563 -0.024333 0.550385 -0.027370 0.003746 -0.030167
4636.400600 0.903513 1.841764 0.906193 -0.106776 0.075872 -0.275313 -0.018850 -0.025918 0.558150 -0.031776 0.004304 -0.030430
4665.310590 0.897021 1.823795 0.903443 -0.120516 0.081531 -0.282624 -0.021443 -0.027580 0.566047 -0.036304 0.004891 -0.030717
4694.220580 0.890523 1.805825 0.900688 -0.134545 0.087477 -0.289706 -0.024367 -0.029323 0.573963 -0.040950 0.005506 -0.030841
4723.130570 0.884011 1.787849 0.897921 -0.148847 0.093721 -0.297336 -0.027648 -0.031149 0.582014 -0.045709 0.006150 -0.030981
4752.040560 0.877487 1.769864 0.895145 -0.163399 0.100276 -0.304740 -0.031313 -0.033062 0.590085 -0.050577 0.006824 -0.030946
