------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 4 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
4694.220580 0.890523 1.805825 0.900688 -0.494845 -0.003825 0.501798 0.011188 0.001079 -0.015141 -0.119427 -0.000096 0.112848
4723.130570 0.884011 1.787849 0.897921 -0.498469 -0.004568 0.515038 0.008538 0.001280 -0.015490 -0.120620 -0.000125 0.117425
4752.040560 0.877487 1.769864 0.895145 -0.501674 -0.005362 0.528544 0.005724 0.001493 -0.015770 -0.121727 -0.000158 0.122146
4780.950550 0.870954 1.751871 0.892361 -0.504440 -0.006207 0.542433 0.002742 0.001718 -0.016050 -0.122745 -0.000194 0.127013
4809.860540 0.864398 1.733853 0.889561 -0.506760 -0.007105 0.556600 -0.000409 0.001956 -0.016253 -0.123671 -0.000234 0.132029
4838.770530 0.857835 1.715825 0.886757 -0.508603 -0.008059 0.571164 -0.003730 0.002207 -0.016446 -0.124497 -0.000277 0.137197
4867.680520 0.851246 1.697757 0.883934 -0.509967 -0.009069 0.586015 -0.007223 0.002472 -0.016552 -0.125224 -0.000323 0.142517
4896.590510 0.844646 1.679673 0.881104 -0.510819 -0.010137 0.601274 -0.010889 0.002750 -0.016640 -0.125842 -0.000373 0.147994
4925.500500 0.838028 1.661560 0.878263 -0.511147 -0.011265 0.616830 -0.014728 0.003043 -0.016629 -0.126348 -0.000426 0.153628
4954.410490 0.831387 1.643408 0.875407 -0.510937 -0.012455 0.632805 -0.018739 0.003352 -0.016588 -0.126739 -0.000482 0.159422
4983.320480 0.824734 1.625234 0.872545 -0.510159 -0.013709 0.649083 -0.022923 0.003675 -0.016435 -0.127007 -0.000542 0.165376
5012.230470 0.818048 1.607000 0.869661 -0.508816 -0.015029 0.665790 -0.027277 0.004014 -0.016240 -0.127151 -0.000604 0.171493
5041.140460 0.811351 1.588748 0.866771 -0.506867 -0.016417 0.682806 -0.031800 0.004370 -0.015917 -0.127162 -0.000670 0.177772
5070.050450 0.804625 1.570438 0.863863 -0.504313 -0.017876 0.700258 -0.036488 0.004743 -0.015538 -0.127038 -0.000739 0.184216
