------------------------------------------------------ 
:: Potential Love Number Partial Derivatives 
:: Computed at 11:33PM on March 14, 2024
------------------------------------------------------ 
n = 3 | Normalization: mu,kappa = (R_sc*(L_sc**2)*(T_sc**(-2))); rho = R_sc 
    L_sc = 6371000.0 | R_sc = 5500.0 | T_sc = 934.5127555294843 | pi*G = 1.0
 Radius(km)  Mu[non-dim]  Kappa[non-dim]  Rho[non-dim]  dhp_dmu  dhp_dK  dhp_drho  dlp_dmu  dlp_dK  dlp_drho  dkp_dmu  dkp_dK  dkp_drho 
3508.910990 1.146315 2.553721 1.009450 -0.801567 -0.021691 0.218106 0.080843 -0.000750 0.005467 -0.247987 -0.010878 0.045648
3537.820980 1.143414 2.542752 1.006818 -0.761207 -0.018942 0.231437 0.075646 -0.001047 0.004274 -0.235795 -0.009938 0.050002
3566.730970 1.140510 2.531902 1.004192 -0.727413 -0.016399 0.244976 0.071096 -0.001315 0.003036 -0.225655 -0.009061 0.054432
3595.640960 1.137604 2.521089 1.001567 -0.699290 -0.014052 0.258493 0.067094 -0.001555 0.001856 -0.217287 -0.008243 0.058905
3624.550950 1.134695 2.510348 0.998945 -0.676056 -0.011890 0.272227 0.063550 -0.001767 0.000631 -0.210446 -0.007480 0.063458
3653.460940 1.128388 2.490860 0.996324 -0.657323 -0.009880 0.285918 0.060423 -0.001961 -0.000531 -0.204989 -0.006775 0.068050
3682.370930 1.121323 2.469388 0.993705 -0.642414 -0.008033 0.299835 0.057630 -0.002132 -0.001740 -0.200723 -0.006119 0.072728
3711.280920 1.114331 2.448262 0.991088 -0.630755 -0.006345 0.313703 0.055105 -0.002278 -0.002882 -0.197473 -0.005510 0.077446
3740.190910 1.107359 2.427238 0.988472 -0.621892 -0.004808 0.327805 0.052797 -0.002400 -0.004072 -0.195098 -0.004944 0.082254
3769.100900 1.100452 2.406518 0.985856 -0.615417 -0.003417 0.341863 0.050661 -0.002500 -0.005192 -0.193469 -0.004419 0.087107
3798.010890 1.093575 2.385942 0.983241 -0.610982 -0.002163 0.356164 0.048657 -0.002578 -0.006361 -0.192478 -0.003933 0.092053
3826.920880 1.086736 2.365561 0.980627 -0.608272 -0.001043 0.370431 0.046750 -0.002633 -0.007457 -0.192027 -0.003484 0.097051
3855.830870 1.079942 2.345393 0.978011 -0.607010 -0.000051 0.384951 0.044907 -0.002668 -0.008603 -0.192030 -0.003069 0.102147
3884.740860 1.073167 2.325316 0.975396 -0.606960 0.000819 0.399449 0.043104 -0.002681 -0.009674 -0.192413 -0.002687 0.107300
3913.650850 1.066446 2.305519 0.972779 -0.607901 0.001569 0.414213 0.041314 -0.002674 -0.010795 -0.193106 -0.002336 0.112557
3942.560840 1.059740 2.285794 0.970162 -0.609654 0.002205 0.428963 0.039518 -0.002646 -0.011839 -0.194056 -0.002015 0.117877
3971.470830 1.053073 2.266266 0.967543 -0.612046 0.002729 0.444001 0.037696 -0.002598 -0.012933 -0.195208 -0.001722 0.123309
4000.380820 1.046429 2.246859 0.964923 -0.614937 0.003144 0.459031 0.035833 -0.002531 -0.013947 -0.196518 -0.001456 0.128808
4029.290810 1.039805 2.227568 0.962300 -0.618198 0.003454 0.474369 0.033913 -0.002443 -0.015012 -0.197948 -0.001215 0.134427
4058.200800 1.033213 2.208447 0.959674 -0.621712 0.003659 0.489706 0.031925 -0.002335 -0.015993 -0.199460 -0.001000 0.140118
4087.110790 1.026631 2.189384 0.957048 -0.625387 0.003764 0.505373 0.029857 -0.002207 -0.017024 -0.201027 -0.000807 0.145936
4116.020780 1.020082 2.170505 0.954417 -0.629124 0.003769 0.521047 0.027700 -0.002059 -0.017968 -0.202617 -0.000638 0.151830
4144.930770 1.013541 2.151680 0.951783 -0.632857 0.003675 0.537067 0.025445 -0.001891 -0.018963 -0.204212 -0.000490 0.157859
4173.840760 1.007019 2.132967 0.949144 -0.636512 0.003485 0.553106 0.023086 -0.001703 -0.019865 -0.205787 -0.000363 0.163970
4202.750750 1.000512 2.114349 0.946502 -0.640030 0.003198 0.569510 0.020615 -0.001495 -0.020818 -0.207324 -0.000256 0.170221
4231.660740 0.994014 2.095796 0.943858 -0.643359 0.002817 0.585941 0.018027 -0.001265 -0.021673 -0.208809 -0.000168 0.176560
4260.570730 0.987532 2.077354 0.941206 -0.646449 0.002340 0.602754 0.015319 -0.001015 -0.022577 -0.210225 -0.000100 0.183045
4289.480720 0.981054 2.058945 0.938552 -0.649263 0.001769 0.619603 0.012486 -0.000744 -0.023378 -0.211561 -0.000050 0.189622
4318.390710 0.974587 2.040634 0.935890 -0.651761 0.001104 0.636851 0.009525 -0.000452 -0.024227 -0.212805 -0.000017 0.196351
4347.300700 0.968124 2.022365 0.933224 -0.653913 0.000345 0.654142 0.006434 -0.000138 -0.024966 -0.213948 -0.000001 0.203176
4376.210690 0.961666 2.004156 0.930553 -0.655690 -0.000510 0.671850 0.003211 0.000199 -0.025751 -0.214980 -0.000003 0.210159
4405.120680 0.955211 1.985997 0.927874 -0.657066 -0.001459 0.689608 -0.000146 0.000558 -0.026419 -0.215893 -0.000021 0.217242
4434.030670 0.948758 1.967862 0.925191 -0.658020 -0.002505 0.707799 -0.003636 0.000940 -0.027130 -0.216682 -0.000054 0.224488
4462.940660 0.942305 1.949790 0.922499 -0.658531 -0.003647 0.726046 -0.007261 0.001346 -0.027717 -0.217339 -0.000104 0.231837
4491.850650 0.935852 1.931732 0.919802 -0.658583 -0.004887 0.744741 -0.011020 0.001775 -0.028343 -0.217859 -0.000169 0.239353
4520.760640 0.929395 1.913709 0.917095 -0.658161 -0.006226 0.763496 -0.014911 0.002230 -0.028837 -0.218238 -0.000248 0.246974
4549.670630 0.922933 1.895702 0.914382 -0.657252 -0.007665 0.782715 -0.018935 0.002709 -0.029364 -0.218472 -0.000343 0.254767
4578.580620 0.916466 1.877712 0.911661 -0.655843 -0.009206 0.801997 -0.023088 0.003214 -0.029751 -0.218555 -0.000453 0.262668
4607.490610 0.909991 1.859736 0.908929 -0.653926 -0.010850 0.821757 -0.027370 0.003746 -0.030167 -0.218486 -0.000577 0.270743
4636.400600 0.903513 1.841764 0.906193 -0.651486 -0.012600 0.841583 -0.031776 0.004304 -0.030430 -0.218259 -0.000715 0.278927
4665.310590 0.897021 1.823795 0.903443 -0.648525 -0.014457 0.861899 -0.036304 0.004891 -0.030717 -0.217874 -0.000867 0.287289
4694.220580 0.890523 1.805825 0.900688 -0.645028 -0.016424 0.882283 -0.040950 0.005506 -0.030841 -0.217327 -0.001034 0.295760
4723.130570 0.884011 1.787849 0.897921 -0.640996 -0.018503 0.903167 -0.045709 0.006150 -0.030981 -0.216618 -0.001214 0.304410
4752.040560 0.877487 1.769864 0.895145 -0.636422 -0.020696 0.924121 -0.050577 0.006824 -0.030946 -0.215743 -0.001408 0.313170
4780.950550 0.870954 1.751871 0.892361 -0.631299 -0.023006 0.945585 -0.055548 0.007529 -0.030918 -0.214699 -0.001617 0.322110
4809.860540 0.864398 1.733853 0.889561 -0.625635 -0.025437 0.967117 -0.060617 0.008266 -0.030702 -0.213490 -0.001838 0.331158
4838.770530 0.857835 1.715825 0.886757 -0.619415 -0.027990 0.989168 -0.065776 0.009035 -0.030483 -0.212110 -0.002074 0.340387
4867.680520 0.851246 1.697757 0.883934 -0.612655 -0.030669 1.011285 -0.071018 0.009839 -0.030061 -0.210562 -0.002323 0.349722
4896.590510 0.844646 1.679673 0.881104 -0.605339 -0.033477 1.033928 -0.076334 0.010676 -0.029627 -0.208842 -0.002586 0.359236
4925.500500 0.838028 1.661560 0.878263 -0.597477 -0.036418 1.056632 -0.081717 0.011549 -0.028973 -0.206950 -0.002863 0.368854
4954.410490 0.831387 1.643408 0.875407 -0.589071 -0.039496 1.079869 -0.087156 0.012459 -0.028294 -0.204889 -0.003154 0.378649
4983.320480 0.824734 1.625234 0.872545 -0.580116 -0.042714 1.103159 -0.092639 0.013406 -0.027378 -0.202654 -0.003458 0.388543
5012.230470 0.818048 1.607000 0.869661 -0.570635 -0.046076 1.126988 -0.098159 0.014393 -0.026424 -0.200253 -0.003776 0.398611
5041.140460 0.811351 1.588748 0.866771 -0.560610 -0.049586 1.150862 -0.103700 0.015418 -0.025214 -0.197679 -0.004107 0.408772
5070.050450 0.804625 1.570438 0.863863 -0.550065 -0.053250 1.175276 -0.109250 0.016485 -0.023950 -0.194938 -0.004453 0.419103
5098.960440 0.797879 1.552089 0.860944 -0.538997 -0.057070 1.199726 -0.114794 0.017594 -0.022409 -0.192029 -0.004812 0.429521
5127.870430 0.791112 1.533696 0.858011 -0.527417 -0.061052 1.224714 -0.120316 0.018746 -0.020797 -0.188953 -0.005186 0.440102
5156.780420 0.784315 1.515242 0.855060 -0.515341 -0.065202 1.249728 -0.125802 0.019943 -0.018886 -0.185716 -0.005573 0.450761
5185.690410 0.777506 1.496766 0.852103 -0.502763 -0.069521 1.275278 -0.131229 0.021186 -0.016884 -0.182314 -0.005975 0.461576
5214.600400 0.770655 1.478201 0.849120 -0.489722 -0.074020 1.300839 -0.136585 0.022476 -0.014558 -0.178759 -0.006390 0.472459
5243.510390 0.763792 1.459612 0.846131 -0.476205 -0.078699 1.326931 -0.141841 0.023814 -0.012121 -0.175046 -0.006819 0.483488
5272.420380 0.756894 1.440959 0.843121 -0.462246 -0.083567 1.353017 -0.146980 0.025202 -0.009332 -0.171184 -0.007263 0.494573
5301.330370 0.749972 1.422253 0.840096 -0.447853 -0.088628 1.379628 -0.151977 0.026641 -0.006409 -0.167175 -0.007721 0.505794
5330.240360 0.743030 1.403503 0.837059 -0.433042 -0.093888 1.406211 -0.156804 0.028133 -0.003105 -0.163024 -0.008192 0.517056
5359.150350 0.736049 1.384676 0.833998 -0.417847 -0.099355 1.433311 -0.161438 0.029679 0.000359 -0.158740 -0.008678 0.528440
5388.060340 0.729055 1.365824 0.830929 -0.402270 -0.105031 1.460360 -0.165842 0.031279 0.004238 -0.154324 -0.009178 0.539849
5416.970330 0.722018 1.346884 0.827834 -0.386360 -0.110928 1.487913 -0.169994 0.032938 0.008303 -0.149790 -0.009692 0.551365
5445.880320 0.714964 1.327909 0.824728 -0.370121 -0.117047 1.515388 -0.173851 0.034654 0.012818 -0.145139 -0.010220 0.562886
5474.790310 0.707880 1.308871 0.821602 -0.353595 -0.123399 1.543352 -0.177382 0.036430 0.017552 -0.140385 -0.010762 0.574497
5503.700300 0.700765 1.289774 0.818456 -0.336811 -0.129989 1.571209 -0.180547 0.038267 0.022773 -0.135536 -0.011318 0.586091
5532.610290 0.693632 1.270642 0.815298 -0.319796 -0.136822 1.599534 -0.183299 0.040166 0.028248 -0.130601 -0.011887 0.597753
5561.520280 0.686455 1.251431 0.812111 -0.302604 -0.143911 1.627719 -0.185604 0.042130 0.034251 -0.125599 -0.012470 0.609374
5590.430270 0.679268 1.232200 0.808918 -0.285252 -0.151254 1.656349 -0.187402 0.044159 0.040546 -0.120534 -0.013065 0.621039
5619.340260 0.662991 1.215747 0.805695 -0.273319 -0.158191 1.684802 -0.191994 0.045808 0.047436 -0.117387 -0.013589 0.632647
5648.250250 0.642425 1.200737 0.802455 -0.263677 -0.164773 1.713679 -0.197945 0.047199 0.054760 -0.115079 -0.014046 0.644321
